Scale,Overall,Acceptor,Fencesitter,Sceptic
Agreeableness,3.62 (0.84),3.67 (0.83),3.56 (0.82),3.43 (0.99)
Conscientiousness,3.76 (0.89),3.77 (0.85),3.64 (0.98),4.07 (0.79)
Extraversion,2.85 (0.96),2.85 (0.99),2.88 (0.93),2.79 (0.88)
Neuroticism,2.77 (1.06),2.89 (1.07),2.64 (0.99),2.26 (0.96)
Openness,3.32 (0.84),3.36 (0.89),3.24 (0.69),3.31 (0.86)
Orientation to Future Goals,3.74 (0.68),3.88 (0.60),3.58 (0.71),3.22 (0.80)
Orientation to Immediate Goals,2.57 (0.91),2.36 (0.85),2.95 (0.92),2.95 (0.78)
Conspiracist Ideation,2.32 (1.02),2.22 (0.95),2.60 (1.11),2.20 (1.07)
Environment-as-Ductile Worldview,3.76 (0.75),4.04 (0.56),3.40 (0.71),2.77 (0.84)
Environment-as-Elastic Worldview,2.44 (0.92),2.06 (0.69),3.00 (0.83),3.58 (0.94)
Knowledge Volume,2.69 (0.76),2.73 (0.71),2.57 (0.81),2.78 (0.93)
Perceptions of Carbon Emission Causes,5.06 (1.33),5.56 (0.84),4.59 (1.27),2.69 (1.51)
Perceptions of Environmental Harm Causes,4.61 (1.49),5.00 (1.22),4.33 (1.45),2.42 (1.46)
Perceptions of Natural Causes,4.23 (1.51),4.15 (1.41),4.49 (1.54),3.99 (2.01)
Perceived Personal Consequences,4.59 (1.58),5.11 (1.28),4.06 (1.56),2.35 (1.19)
Perceived Societal Consequences,5.12 (1.51),5.73 (1.00),4.40 (1.48),2.68 (1.43)
Perceived Human Contribution,5.59 (1.72),6.31 (0.96),4.93 (1.68),2.14 (1.36)
Perceived Effectiveness of Carbon Policies,4.19 (1.26),4.33 (1.30),3.89 (1.26),4.06 (0.75)
Perceived Effectiveness of Engineering Policies,4.04 (1.06),4.03 (1.04),3.98 (1.19),4.25 (0.72)
Perceived Effectiveness of Green Policies,4.69 (1.52),4.91 (1.55),4.27 (1.52),4.40 (0.81)
Need for Cognition,3.36 (0.78),3.36 (0.77),3.33 (0.78),3.45 (0.91)
Political Ideology,3.62 (1.59),3.11 (1.45),4.38 (1.36),5.17 (1.34)
System Justification,5.00 (1.58),4.80 (1.48),5.49 (1.48),4.99 (2.24)
Epistemic Scepticism,2.97 (1.00),2.51 (0.80),3.60 (0.74),4.42 (0.46)
Response Scepticism,2.37 (1.01),1.90 (0.73),3.04 (0.87),3.84 (0.54)
Conservation Values,1.43 (0.91),1.26 (0.93),1.67 (0.67),2.05 (0.95)
Self-Transcendence Values,-0.48 (0.97),-0.40 (0.95),-0.74 (0.99),-0.31 (0.93)
Worry about Climate Change,2.72 (1.01),3.10 (0.82),2.30 (0.94),1.17 (0.38)
